datetime,tempmax,tempmin,temp,dew,humidity,precip,preciptype,windgust,windspeed,wildfire
6/1/2018,79.4,43.8,61.9,39.9,49.6,0,,23,12,
6/2/2018,97.1,50.9,72.7,44.5,43.7,0,,19.7,15.9,
6/3/2018,96.2,55.1,74,45.8,43.3,0,,23,16.3,
6/4/2018,76.2,55.9,66.2,39.8,40.8,0,,19.7,11.6,
6/5/2018,74.5,50,61.7,41.3,49,0,,20.8,13.1,
6/6/2018,75.4,51.9,61.6,44.1,54.2,0,,18.3,13.3,
6/7/2018,76.5,51.2,62,42.7,54.8,0,,19.7,12.9,
6/8/2018,78.1,51.2,64.6,42.6,48.9,0,,21.9,13.3,
6/9/2018,64.6,53.6,60,42.1,53,0,,26.8,16.1,
6/10/2018,70.6,46.7,59,35.6,45.6,0,,20.8,15,
6/11/2018,80.7,49.6,65.8,42.9,45.4,0,,20.8,11.2,
6/12/2018,93.8,54.6,71.5,46.4,47.2,0,,18.3,12.9,1
6/13/2018,89.1,57.2,70.1,45.1,43.2,0,,21,15,1
6/14/2018,91.1,54.5,70.2,47.6,49.2,0,,21.9,11.4,1
6/15/2018,79.4,53.5,67.3,44.8,46.8,0,,21.9,12,1
6/16/2018,78.7,52,64.8,44.1,51.8,0,,23,10.3,
6/17/2018,78.1,49,63,47.5,60.2,0,,16.1,9.7,
6/18/2018,88.1,53,67.2,47.8,54.6,0,,12.8,12.8,1
6/19/2018,92,55.2,72,48.1,47.7,0,,19.7,12.8,
6/20/2018,89.1,55.4,68.4,41,43.1,0,,21.9,15.7,1
6/21/2018,92.9,49.2,69.8,39.2,41.9,0,,20.8,11.4,1
6/22/2018,98.1,53.7,74.5,43.5,38.9,0,,20.8,10.3,
6/23/2018,101,59,79.2,45.8,35.6,0,,15,9.2,1
6/24/2018,92.9,58.8,73.9,53.5,52.1,0,,23,17.2,
6/25/2018,90,53.6,68.5,45.3,53.7,0,,19.7,13.9,
6/26/2018,93.8,52.7,72.2,48.3,47.2,0,,17.2,10.3,1
6/27/2018,91.1,54.5,70.4,45.9,46.7,0,,15,9.9,
6/28/2018,78.8,56,67.8,40.6,38.2,0,,20.8,12.8,1
6/29/2018,92,53.7,71.8,44.1,41.8,0,,20.8,15,
6/30/2018,104,57.8,79.8,44.8,36.8,0,,18.3,10.3,1
7/1/2018,101,58.9,76.7,51.3,47,0,,19.7,13.9,
7/2/2018,98.1,55.4,74.5,50.9,51.2,0,,15,9.2,1
7/3/2018,90,52.8,69.7,48.4,51.1,0,,16.1,13.9,1
7/4/2018,77,52.1,63.1,48.8,61.9,0,,15.8,11.4,
7/5/2018,88.1,50.6,67.6,46.6,51.4,0,,14.4,11.4,
7/6/2018,83.1,56.7,69,48.5,51.2,0,,21.9,13.1,
7/7/2018,90,52.2,69.4,43.2,44.1,0,,20.8,11.8,
7/8/2018,84.2,53.9,70.3,38,37.9,0,,20.6,14,
7/9/2018,92.9,52.2,71.5,35.5,31.9,0,,19.7,12.9,
7/10/2018,85.2,56.9,71.6,44.7,40.6,0,,21.9,15.7,
7/11/2018,100.1,58,77.1,49.6,45.1,0,,13.9,11.4,1
7/12/2018,95,58.1,74.9,44.8,40.3,0,,24.2,16.1,
7/13/2018,83.8,63.4,72.1,46.5,41.7,0,,12.8,6.2,
7/14/2018,99,61.1,77.5,53.9,49.1,0,,9.2,8.1,
7/15/2018,99,59.5,76,51.4,47.4,0,,12.8,10.3,
7/16/2018,101.9,56.5,76.3,48.7,44.1,0,,20.8,10.3,1
7/17/2018,102.8,58.2,78.9,50.4,43.7,0,,18.3,12.8,1
7/18/2018,107.1,61.5,82.6,46.5,38.7,0,,10.3,13.9,
7/19/2018,104,58.8,78.7,47.7,39.9,0,,6.9,11.4,1
7/20/2018,92.9,58.1,73.8,48,44,0,,24.2,14.8,
7/21/2018,96.2,60.2,75.1,50,43.8,0,,16.1,11,
7/22/2018,98.1,61.3,75.8,53.9,50.6,0,,18.3,9.2,
7/23/2018,100.1,61.5,78.7,51.7,43.2,0,,18.3,13.9,1
7/24/2018,102.8,60.5,79.4,48.2,41.5,0,,10.3,17.2,1
7/25/2018,102.8,58.9,80.3,40.7,31.9,0,,12.8,11.4,
7/26/2018,106.1,61.2,81,40.9,31.4,0,,29.8,17.2,1
7/27/2018,101.9,57.8,79.9,45.8,37.7,0,,28.9,17.2,1
7/28/2018,105.2,56.1,78.5,42.6,37.7,0,,21.9,13.9,1
7/29/2018,100.1,51.5,67.9,46.8,36,0,,16.1,12.8,1
7/30/2018,101,56.9,77.8,42.9,36.6,0,,25.3,12.8,1
7/31/2018,100.1,58.7,78,45.9,40.7,0,,15,11.4,1
8/1/2018,97.1,57.9,75.7,42.4,38.8,0,,17.7,13.9,1
8/2/2018,96.2,56.2,73.9,42.5,40.2,0,,17.2,12.8,1
8/3/2018,96.2,55.7,74.3,41.4,37.1,0,,17.2,11.4,1
8/4/2018,90,56.3,71.2,41.8,38.7,0,,23,13.1,1
8/5/2018,90,53.6,70.6,38.2,38.3,0,,23,15,1
8/6/2018,96.2,54.5,74.9,36,30,0,,21.9,16.1,1
8/7/2018,90,56.6,71.4,43.6,39,0,,16.1,11.4,1
8/8/2018,99,57.7,75.4,49.1,47.4,0,,12.8,8.1,1
8/9/2018,101,60,76.5,45.8,41.3,0,,18.3,11.4,1
8/10/2018,101,55.4,76.2,42.8,36,0,,16.1,15.4,1
8/11/2018,95,58.2,74,40.9,35.3,0,,19,13.9,1
8/12/2018,97.1,54.9,73.3,44.8,42.5,0,,16.1,9.2,1
8/13/2018,96.2,55.6,72.4,46,44.8,0,,13.9,10.3,1
8/14/2018,87.2,53.3,67.8,49.2,54.5,0,,13.9,9.2,1
8/15/2018,86.8,55.6,68.6,51.8,58,0,,18.3,9.7,1
8/16/2018,95,54.1,71.9,50.8,54.8,0,,13.9,11.4,1
8/17/2018,100.1,54.9,73.7,46.2,45.2,0,,8.1,8.1,1
8/18/2018,101,54,74.5,40.8,37.4,0,,8.1,9.2,1
8/19/2018,100.1,52.2,73,38.2,34.9,0,,11.4,10.3,1
8/20/2018,97.1,54.8,72.2,46.6,45.3,0,,13.9,10.3,1
8/21/2018,78.2,52.6,63.1,51.3,67.8,0,,10.3,7.9,1
8/22/2018,84.8,57.8,67,54.6,67.8,0,,6.9,7.7,1
8/23/2018,77.4,56,64.1,53.1,69.5,0,,12.8,9.4,1
8/24/2018,80.4,53.6,64.2,51.8,66.5,0,,12.8,6.9,1
8/25/2018,90,52.9,68.3,48.5,55.3,0,,11.4,11.4,1
8/26/2018,88.1,51.3,66.8,47.5,54.8,0,,8.1,8.1,1
8/27/2018,79.6,53.1,64.2,51.2,65.8,0,,12.8,9.6,1
8/28/2018,75.3,54,63.7,53,69.9,0,,18.9,12.7,1
8/29/2018,78.6,53.5,64.1,50.8,64.6,0,,15,12,1
8/30/2018,79.4,50.9,63.9,49.2,61.9,0,,19.7,14.4,1
8/31/2018,82.8,52.7,65.7,47.1,56.5,0,,23,11.4,1
9/1/2018,95,53.3,70.1,44.9,47.2,0,,16.1,10.3,1
9/2/2018,100.1,53.8,73.5,45.3,44.6,0,,16.1,10.3,1
