datetime,tempmax,tempmin,temp,dew,humidity,precip,preciptype,windgust,windspeed,wildfire,
1/1/2018,62.2,37.9,48,39.5,73.1,0,,11.4,5.8,,
1/2/2018,63.2,39.8,50.1,39.8,69.2,0,,9.2,5.1,,
1/3/2018,56.4,42.9,50,43.4,78.3,0.056,rain,21.9,7.3,,
1/4/2018,58.7,52.9,55.6,52.2,88.1,0.072,rain,26.4,14.1,,
1/5/2018,58.5,47.5,55.4,51.1,85.6,0.255,rain,25.3,11.6,,
1/6/2018,56.4,39.9,45.9,40.4,81.8,0,,17.2,6.5,,
1/7/2018,49.6,38.2,43.8,39.4,84.6,0,,10.3,5.4,,
1/8/2018,52.2,45.9,49.5,46,87.7,1.929,rain,25.3,6.4,,
1/9/2018,57,47.8,52.5,46.4,80.3,0.229,rain,21.9,15.7,,
1/10/2018,52.2,42.4,47.7,42.8,83,0.036,rain,9.2,5.4,,
1/11/2018,53.3,48.9,50.8,47.5,88.7,0.08,rain,11.4,4.1,,
1/12/2018,57.7,43.5,51.4,47.3,85.9,0,,10.3,6,,
1/13/2018,63.2,38.1,48,41.9,80.8,0,,10.3,4.7,,
1/14/2018,61,41.1,49.9,42.6,76.8,0,,17.2,5.2,,
1/15/2018,62,42.5,51.5,42.6,73.3,0.071,rain,18.3,10.1,,
1/16/2018,59.6,52.3,54.9,52,90.2,0.274,rain,9.2,4.7,,
1/17/2018,61.8,49.6,55.1,50.1,83.6,0,,15,8,,
1/18/2018,53.8,46.9,51.8,48.4,88.4,0.365,rain,23,10.3,,
1/19/2018,49.4,39,44.2,39,82.5,0.038,rain,13.9,7.1,,
1/20/2018,53.7,33.8,42.6,33.9,72.7,0,,19.5,9.2,,
1/21/2018,50.8,36.4,43.9,39.1,83.2,0.679,rain,20.8,13.1,,
1/22/2018,56.5,41.4,49.4,42.9,79.1,0.566,rain,15,8.2,,
1/23/2018,54.8,38,45.6,39.8,80.8,0,,11.4,6.2,,
